날짜,NOK/USD,USD/KRW,NOK/KRW,dNOK/KRW
2022-09-22,0.09647806734,1397.560059,134.8338934,0.000435154971
2022-09-23,0.0961760357,1403.660034,134.9984576,0.001220495191
2022-09-26,0.0944384262,1421.810059,134.2735043,-0.00537008563
2022-09-27,0.09272223711,1429.77002,132.5714748,-0.01267584047
2022-09-28,0.09266595542,1426.26001,132.1657465,-0.003060449288
2022-09-29,0.09348765016,1421.949951,132.9347596,0.00581855062
2022-09-30,0.09366891533,1430.170044,133.9624768,0.00773098913
2022-10-03,0.0919675529,1439.22998,132.3624594,-0.01194377284
2022-10-04,0.09399998188,1433.339966,134.7339308,0.01791649583
2022-10-05,0.09578177333,1416.530029,135.6777582,0.00700512008
2022-10-06,0.09539408982,1416.76001,135.1505316,-0.003885873149
2022-10-07,0.09326548129,1408.449951,131.3597626,-0.02804849528
2022-10-10,0.09342432767,1415.97998,132.2869777,0.007058592982
2022-10-11,0.09368383884,1428.349976,133.8133089,0.01153803104
2022-10-12,0.09298942983,1430.800049,133.0492807,-0.005709657647
2022-10-13,0.09291417897,1423.900024,132.3005017,-0.005627832327
2022-10-14,0.09452591091,1430.300049,135.200415,0.02191914058
2022-10-17,0.09398231655,1440.76001,135.4059633,0.001520323143
2022-10-18,0.09509771317,1430.150024,136.0039968,0.004416596471
2022-10-19,0.09490610659,1425.02002,135.2431019,-0.005594651369
2022-10-20,0.09413066506,1435.01001,135.0784466,-0.001217476333
2022-10-21,0.09375198931,1430.310059,134.0944133,-0.007284902227
2022-10-24,0.09526304901,1428.109985,136.0461115,0.0145546571
2022-10-25,0.09526748955,1443.959961,137.5624405,0.01114569872
2022-10-26,0.09615754336,1426.930054,137.2100885,-0.00256139669
2022-10-27,0.09774081409,1412.689941,138.0774649,0.006321520712
2022-10-28,0.0973694697,1420.650024,138.3279395,0.001814014911
2022-10-31,0.0969356671,1421.650024,137.8085935,-0.003754454925
2022-11-01,0.09632593393,1424.670044,137.2326725,-0.004179136812
2022-11-02,0.09665580094,1416.599976,136.9226052,-0.002259427541
2022-11-03,0.09558740258,1423.099976,136.0304303,-0.00651590705
2022-11-04,0.09453207999,1423.650024,134.580598,-0.01065814675
2022-11-07,0.09750038385,1402.109985,136.7062618,0.01579472685
2022-11-08,0.0978396982,1392.699951,136.2613429,-0.003254561071
2022-11-09,0.09777082503,1374.150024,134.3517816,-0.01401396213
2022-11-10,0.09643294662,1370.550049,132.1661797,-0.01626775523
2022-11-11,0.09901019931,1349.369995,133.6013922,0.01085915064
2022-11-14,0.1007526293,1313.030029,132.2912279,-0.009806516852
2022-11-15,0.09963274747,1324.079956,131.9217239,-0.002793110066
2022-11-16,0.1002072319,1316.26001,131.8987721,-0.0001739804664
2022-11-17,0.1000024974,1336.430054,133.646343,0.01324933432
2022-11-18,0.09883151948,1342.75,132.7060228,-0.007035884475
2022-11-21,0.09852167964,1339.030029,131.9234876,-0.005896757336
2022-11-22,0.09756744653,1359.75,132.6673354,0.005638479229
2022-11-23,0.09904382378,1352.689941,133.9755842,0.009861121885
2022-11-24,0.1006915495,1336.810059,134.6054762,0.004701543048
2022-11-25,0.1009366959,1317.890015,133.0234637,-0.01175295778
2022-11-28,0.1009203941,1334.560059,134.684327,0.01248549155
2022-11-29,0.09988453239,1340.119995,133.8572591,-0.006140788397
2022-11-30,0.09992455691,1325.369995,132.4370095,-0.01061017958
2022-12-01,0.1018045917,1279.800049,130.2895214,-0.01621516572
2022-12-02,0.1029355153,1303.25,134.1507104,0.0296354525
2022-12-05,0.1025300324,1299.170044,133.2039467,-0.007057463025
2022-12-06,0.1005764008,1304.369995,131.1888394,-0.01512798517
2022-12-07,0.09992066026,1319.709961,131.8662906,0.005163939892
2022-12-08,0.09985421598,1314.099976,131.2184228,-0.004913066569
2022-12-09,0.1003975794,1316.630005,132.1864654,0.007377337856
2022-12-12,0.1003144905,1303.170044,130.726839,-0.01104217761
2022-12-13,0.1001933813,1305.920044,130.8445449,0.0009003960792
2022-12-14,0.1022788733,1288.97998,131.8354201,0.007572919589
2022-12-15,0.1029047966,1295.680054,133.3316924,0.01134954661
2022-12-16,0.1014908999,1317.099976,133.6736618,0.002564802224
2022-12-19,0.1017594188,1308.859985,133.1888315,-0.003626969904
2022-12-20,0.1010870934,1301.329956,131.5476628,-0.01232211958
2022-12-21,0.1012196913,1283.640015,129.9296461,-0.01229985123
2022-12-22,0.1017158404,1280.77002,130.2745989,0.002654920072
2022-12-23,0.1013937593,1290.199951,130.8182232,0.004172911251
2022-12-26,0.1017006412,1279.23999,130.0995273,-0.005493852019
2022-12-27,0.1019053236,1275.130005,129.9425357,-0.001206703381
2022-12-28,0.1018389016,1272.280029,129.5676008,-0.002885390624
2022-12-29,0.10125608,1274.319946,129.0326424,-0.004128797374
2022-12-30,0.1012177467,1260.26001,127.5606785,-0.01140768627
2023-01-02,0.1023699716,1260.910034,129.0793244,0.01190528214
2023-01-03,0.1015970036,1270.099976,129.0383518,-0.0003174212025
2023-01-04,0.09911540151,1279.079956,126.7765234,-0.01752834259
2023-01-05,0.09918873757,1271.079956,126.0768162,-0.005519217527
2023-01-06,0.09760230035,1274.180054,124.3629043,-0.01359418764
2023-01-09,0.1001406908,1252.880005,125.4642692,0.00885605633
2023-01-10,0.1012656167,1239.280029,125.4964564,0.0002565452825
2023-01-11,0.1001732945,1240.160034,124.2309164,-0.0100842693
2023-01-12,0.1001194492,1241.599976,124.3083057,0.0006229471425
2023-01-13,0.1011848748,1239.130005,125.3812144,0.008631029805
2023-01-16,0.1010111198,1236.589966,124.9093372,-0.00376353997
2023-01-17,0.1014442667,1240.709961,125.8629122,0.007634137542
2023-01-18,0.1012452096,1237.0,125.2403242,-0.004946556258
2023-01-19,0.1008766145,1237.880005,124.873144,-0.002931805363
2023-01-20,0.1010422558,1232.180054,124.5022521,-0.00297014914
2023-01-23,0.1015697569,1230.030029,124.933851,0.003466594998
2023-01-24,0.1018587127,1229.280029,125.2128814,0.002233424785
2023-01-25,0.1014163792,1232.660034,125.0119175,-0.001604977879
2023-01-26,0.1011296213,1232.589966,124.6513564,-0.002884213389
2023-01-27,0.1014962569,1231.849976,125.0281616,0.003022872426
2023-01-30,0.1011255309,1228.949951,124.2782163,-0.005998211123
2023-01-31,0.1002299264,1231.5,123.4331544,-0.006799758758
2023-02-01,0.10019508,1232.150024,123.4553703,0.0001799836458
2023-02-02,0.1012115031,1221.949951,123.6753913,0.001782190677
