날짜,방어(자연)_대,d방어(자연)_대
2021-09-17,9209,0.2541195697
2021-09-24,8700,-0.05527201651
2021-09-25,8700,0.0
2021-09-27,8000,-0.08045977011
2021-09-28,8592,0.074
2021-09-29,8154,-0.05097765363
2021-09-30,2449,-0.6996566103
2021-10-01,3335,0.3617803185
2021-10-02,3335,0.0
2021-10-04,6578,0.9724137931
2021-10-05,6459,-0.01809060505
2021-10-06,6900,0.06827682304
2021-10-07,6900,0.0
2021-10-08,7229,0.04768115942
2021-10-09,9114,0.2607552912
2021-10-11,9344,0.02523590081
2021-10-12,12650,0.3538099315
2021-10-13,13500,0.06719367589
2021-10-14,14815,0.09740740741
2021-10-15,15958,0.07715153561
2021-10-16,13594,-0.1481388645
2021-10-18,15546,0.1435927615
2021-10-19,13994,-0.09983275441
2021-10-20,11299,-0.1925825354
2021-10-21,11098,-0.01778918488
2021-10-22,14805,0.3340241485
2021-10-23,12693,-0.1426545086
2021-10-25,15312,0.2063342
2021-10-26,13338,-0.1289184953
2021-10-27,13877,0.0404108562
2021-10-28,14840,0.06939540246
2021-10-29,15911,0.07216981132
2021-10-30,16890,0.06152975929
2021-11-01,23641,0.3997039668
2021-11-02,25052,0.05968444651
2021-11-03,19412,-0.225131726
2021-11-04,24327,0.2531939007
2021-11-05,22313,-0.08278867102
2021-11-06,25718,0.1526016224
2021-11-08,25252,-0.01811960495
2021-11-09,10023,-0.6030809441
2021-11-10,8541,-0.1478599222
2021-11-11,29830,2.492565273
2021-11-12,24226,-0.1878645659
2021-11-13,24226,0.0
2021-11-15,25172,0.03904895567
2021-11-16,22137,-0.1205704751
2021-11-17,25584,0.1557121561
2021-11-18,16124,-0.3697623515
2021-11-19,24893,0.5438476805
2021-11-20,24893,0.0
2021-11-22,24314,-0.02325955088
2021-11-23,22403,-0.07859669326
2021-11-24,21167,-0.05517118243
2021-11-25,24962,0.1792885151
2021-11-26,24962,0.0
2021-11-27,22218,-0.1099270892
2021-11-29,22218,0.0
2021-11-30,22218,0.0
2021-12-01,22218,0.0
2021-12-02,22218,0.0
2021-12-03,22218,0.0
2021-12-04,22218,0.0
2021-12-06,22218,0.0
2021-12-09,29350,0.3210009902
2021-12-10,27633,-0.05850085179
2021-12-11,27276,-0.01291933558
2021-12-13,29955,0.09821821381
2021-12-14,22432,-0.2511433817
2021-12-15,22432,0.0
2021-12-16,14820,-0.3393366619
2021-12-18,31000,1.091767881
2021-12-20,27178,-0.1232903226
