날짜,대,중,소
2019/12/2,12379.0,10022.0,8943.0
2019/12/3,11119.0,10000.0,9348.0
2019/12/4,10278.0,9866.0,9500.0
2019/12/5,10120.0,10000.0,9431.0
2019/12/6,11243.0,10335.0,9569.0
2019/12/7,11101.0,9824.0,9298.0
2019/12/9,11101.0,9824.0,9298.0
2019/12/10,10780.0,10000.0,7591.0
2019/12/11,13435.0,10000.0,9537.0
2019/12/12,10186.0,9882.0,9377.0
2019/12/13,10125.0,9373.0,9000.0
2019/12/14,10166.0,9908.0,9500.0
2019/12/16,10460.0,9871.0,9479.0
2019/12/17,12647.0,10226.0,10000.0
2019/12/18,10473.0,10012.0,9709.0
2019/12/19,10949.0,9913.0,9408.0
2019/12/20,10143.0,9877.0,9500.0
2019/12/21,10241.0,9668.0,9351.0
2019/12/23,10533.0,9907.0,9369.0
2019/12/24,19699.0,11063.0,9618.0
2019/12/25,10609.0,9939.0,9404.0
2019/12/26,11079.0,9815.0,9500.0
2019/12/27,10220.0,9559.0,9242.0
2019/12/28,10220.0,9559.0,9242.0
2019/12/30,10220.0,9559.0,9242.0
2019/12/31,12124.0,10022.0,
2020/1/3,10699.0,10317.0,10000.0
2020/1/4,10699.0,10317.0,10000.0
2020/1/6,10578.0,10000.0,10000.0
2020/1/7,13379.0,10511.0,9984.0
2020/1/8,12273.0,10000.0,9686.0
2020/1/9,10371.0,10000.0,9588.0
2020/1/10,12794.0,10692.0,9740.0
2020/1/11,10251.0,9990.0,9227.0
2020/1/13,10251.0,9990.0,9227.0
2020/1/14,11212.0,10008.0,9485.0
2020/1/15,10300.0,10000.0,9697.0
2020/1/16,10300.0,10000.0,9697.0
2020/1/17,11465.0,9810.0,9500.0
2020/1/18,11465.0,9810.0,9500.0
2020/1/20,11465.0,9810.0,9500.0
2020/1/21,10512.0,9779.0,8984.0
2020/1/22,11559.0,9903.0,8909.0
2020/1/23,10087.0,9943.0,9500.0
2020/1/24,10378.0,10000.0,9794.0
2020/1/28,10172.0,10000.0,9766.0
2020/1/29,10172.0,10000.0,9766.0
2020/1/30,11548.0,10328.0,9714.0
2020/1/31,12215.0,10180.0,9804.0
2020/2/1,10314.0,10018.0,9620.0
2020/2/3,10314.0,10018.0,9620.0
2020/2/4,10200.0,9009.0,5017.0
2020/2/5,11872.0,10000.0,9910.0
2020/2/6,10000.0,9970.0,9500.0
2020/2/7,11459.0,10000.0,9541.0
2020/2/8,10000.0,9907.0,7561.0
2020/2/10,10000.0,9907.0,7561.0
