날짜,참돔_대,참돔_중,참돔_소,d참돔_대,d참돔_중,d참돔_소
2018-10-10,16581,14779,12754,0.03122084707,-0.07324261617,-0.1236171236
2018-10-11,18108,16536,12759,0.09209335987,0.1188849043,0.0003920338717
2018-10-12,17390,15512,9650,-0.03965098299,-0.06192549589,-0.2436711341
2018-10-13,17390,15512,9650,0.0,0.0,0.0
2018-10-15,17390,15512,9650,0.0,0.0,0.0
2018-10-16,17322,13204,8671,-0.003910293272,-0.1487880351,-0.1014507772
2018-10-17,17734,13807,6396,0.02378478236,0.0456679794,-0.2623688156
2018-10-18,18228,15772,13488,0.02785609564,0.1423191135,1.108818011
2018-10-19,17688,14105,9157,-0.02962475313,-0.1056936343,-0.3211002372
2018-10-20,17688,14105,9157,0.0,0.0,0.0
2018-10-22,17688,14105,9157,0.0,0.0,0.0
2018-10-23,17880,16888,15971,0.01085481682,0.1973059199,0.7441301736
2018-10-24,17880,16888,15971,0.0,0.0,0.0
2018-10-25,17993,16860,14284,0.006319910515,-0.001657981999,-0.1056289525
2018-10-26,16670,15972,14059,-0.07352859445,-0.05266903915,-0.01575189023
2018-10-27,16670,15972,14059,0.0,0.0,0.0
2018-10-29,16670,15972,14059,0.0,0.0,0.0
2018-10-30,16793,15144,9870,0.007378524295,-0.05184072126,-0.297958603
2018-10-31,16793,15144,9870,0.0,0.0,0.0
2018-11-01,18803,16303,13000,0.1196927291,0.07653195985,0.3171225937
2018-11-02,18803,16303,13000,0.0,0.0,0.0
2018-11-03,17894,16874,13102,-0.04834334947,0.03502422867,0.007846153846
2018-11-05,17894,16874,13102,0.0,0.0,0.0
2018-11-06,18098,16632,14848,0.01140046943,-0.01434159061,0.1332620974
2018-11-07,17284,12766,8263,-0.04497734556,-0.2324434824,-0.4434940733
2018-11-08,19118,17115,15516,0.1061096968,0.3406705311,0.877768365
2018-11-09,17169,14164,9867,-0.1019458102,-0.1724218522,-0.3640757927
2018-11-10,17169,14164,9867,0.0,0.0,0.0
2018-11-12,17169,14164,9867,0.0,0.0,0.0
2018-11-13,17169,14164,9867,0.0,0.0,0.0
2018-11-14,16873,14409,10392,-0.01724037509,0.01729737362,0.0532076619
2018-11-15,16873,14409,10392,0.0,0.0,0.0
2018-11-16,17907,16025,13200,0.06128133705,0.1121521271,0.2702078522
2018-11-17,17907,16025,13200,0.0,0.0,0.0
2018-11-19,17907,16025,13200,0.0,0.0,0.0
2018-11-20,16636,11614,7093,-0.0709778299,-0.2752574103,-0.4626515152
2018-11-21,18509,17195,13888,0.1125871604,0.4805407267,0.9579867475
2018-11-22,18810,16771,13733,0.01626235885,-0.02465833091,-0.01116071429
2018-11-23,17734,16081,14104,-0.0572036151,-0.04114244827,0.02701521882
2018-11-24,17187,15134,12408,-0.03084470509,-0.05888937255,-0.1202495746
2018-11-26,17566,15426,12972,0.02205155059,0.01929430422,0.04545454545
